run,seed,strategy,top_k,oracle_top10_overlap,affected_jobs_total,affected_job_minutes_total,affected_jobs_developer_window,affected_job_minutes_developer_window,p95_wait_seconds_developer_window,p99_wait_seconds_developer_window,minutes_avoided_total,percent_minutes_saved_total,minutes_avoided_developer_window,percent_minutes_saved_developer_window,affected_jobs_avoided_developer_window
14,20260634,peak_concurrency,10,0,2000,1559.9388209611504,890,706.452491325379,32.104148628440925,53.20762641753562,684.6947712910958,30.503632025041508,146.10845062936494,17.137596087192176,231
14,20260634,hybrid_count_concurrency_a0.5,10,0,2001,1567.9276314143851,894,711.4218762715191,33.534634073175106,53.20762641753562,676.7059608378611,30.147724919275582,141.13906568322489,16.554718699594954,227
14,20260634,count_x_pull_time,10,2,1998,1454.6167468772142,906,672.3603353002165,33.534634073175106,52.6369665575525,790.0168453750321,35.19580425517627,180.2006066545274,21.13639011439641,215
14,20260634,dev_weighted_count_x_pull_time,10,2,1998,1454.6167468772142,906,672.3603353002165,33.534634073175106,52.6369665575525,790.0168453750321,35.19580425517627,180.2006066545274,21.13639011439641,215
14,20260634,model_exposure_dev,10,6,1986,1311.1095283454758,693,461.5761251025098,0.0,50.187362026894434,933.5240639067704,41.58915143785584,390.98481685223413,45.86004326632507,428
14,20260634,oracle_impact_upper_bound,10,10,2013,1328.4981575232882,593,368.323084642672,0.0,42.82639847535556,916.135434728958,40.81447581873332,484.237857312072,56.798034425763845,528
15,20260635,count,10,1,1979,1570.9172934805545,964,789.4918711260663,38.98122313657291,60.23744790439791,664.0068272884544,29.710486415081427,141.20116006743888,15.171614628548886,196
15,20260635,dev_weighted_count,10,0,1977,1600.5717790119152,977,812.0784066079774,43.02920765227551,60.23744790439791,634.3523417570937,28.383618748488924,118.61462458552774,12.744763376321657,183
15,20260635,recent_count,10,0,1977,1612.0032119470266,966,809.1614792189303,43.02920765227551,60.23744790439791,622.9209088219823,27.87212787374827,121.53155197457488,13.058177927766888,194
15,20260635,peak_concurrency,10,1,1983,1579.8866161400556,948,779.2798312103174,38.98122313657291,60.23744790439791,655.0375046289532,29.309160814084517,151.41319998318772,16.268865770813605,212
15,20260635,hybrid_count_concurrency_a0.5,10,1,1983,1554.4386375069669,949,770.3736007113711,37.00321321212275,60.23744790439791,680.485483262042,30.447811491152354,160.31943048213407,17.225811852974026,211
15,20260635,count_x_pull_time,10,2,1984,1443.5755060737788,873,681.433654977973,34.645272210219346,55.575571903784386,791.34861469523,35.40829898166463,249.25937621553214,26.782125562483916,287
15,20260635,dev_weighted_count_x_pull_time,10,2,1978,1452.5705835041886,905,704.3107862781818,35.49629630261092,52.04261770054331,782.3535372648203,35.005821002800865,226.38224491532333,24.324050715735403,255
15,20260635,model_exposure_dev,10,5,1988,1356.901758419868,680,498.10441197262384,0.0,49.35100718020708,878.0223623491408,39.286450675874605,432.5886192208813,46.48026843675158,480
15,20260635,oracle_impact_upper_bound,10,10,2001,1322.518867852945,621,427.6313390330432,0.0,47.89100552450293,912.4052529160638,40.824887271882716,503.0616921604619,54.05237552013729,539
16,20260636,count,10,1,1973,1800.3930619484245,1063,947.0572697387823,43.42859028144888,73.17497954446418,671.8134189564735,27.174648401964006,113.02587090122063,10.661981741638078,162
16,20260636,dev_weighted_count,10,0,1970,1821.3116579526888,1072,966.0454981221864,43.42859028144888,73.17497954446418,650.8948229522091,26.328497557937112,94.03764251781661,8.87077993345346,153
16,20260636,recent_count,10,1,1969,1735.337875579747,1063,933.3706815649813,43.42859028144888,67.33774614391035,736.8686053251508,29.806110897963343,126.71245907502168,11.953068039410729,162
16,20260636,peak_concurrency,10,1,1974,1760.3060676026314,1022,903.7626764016893,40.48840084542262,73.17497954446418,711.9004133022665,28.796155127046294,156.32046423831366,14.746057006805943,203
16,20260636,hybrid_count_concurrency_a0.5,10,1,1974,1790.6609941811334,1042,926.0289289870058,43.42859028144888,73.17497954446418,681.5454867237645,27.568307582233157,134.0542116529972,12.64563188619949,183
16,20260636,count_x_pull_time,10,4,1972,1541.2608549082627,999,800.9962405810523,39.964259611878994,61.04944610863063,930.9456259966353,37.65646733746457,259.0869000589506,24.44024342303306,226
16,20260636,dev_weighted_count_x_pull_time,10,4,1969,1523.9237773969253,1002,797.1600456125368,39.964259611878994,58.3149355726691,948.2827035079727,38.357746848106075,262.92309502746616,24.802120225092143,223
16,20260636,model_exposure_dev,10,7,2003,1380.1457220139428,733,527.2251112015842,0.0,50.67337035936751,1092.0607588909552,44.173525444817614,532.8580294384187,50.26568285169755,492
